OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1,GO-2020813480,2014,8/1/2014 4:00:00 AM,1200,2020,4/30/2020 4:00:00 AM,1904,D33,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,No,Wilful Promotion of Hatred,053,Henry Farm (53),053,Henry Farm (53),No
2,GO-2019728283,2016,9/1/2016 4:00:00 AM,0,2019,4/23/2019 4:00:00 AM,754,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,,,,No,Assault With a Weapon,173,North Toronto (173),104,Mount Pleasant West (104),No
3,GO-2018698451,2017,6/22/2017 4:00:00 AM,824,2018,4/19/2018 4:00:00 AM,1015,D52,Streets/Roadways/Highway,NO,NO,,,,,,Woman,No,Assault With a Weapon,164,Wellington Place (164),077,Waterfront Communities-The Island (77),Yes
4,GO-2018695170,2017,9/5/2017 4:00:00 AM,900,2018,4/19/2018 4:00:00 AM,1333,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,099,Mount Pleasant East (99),099,Mount Pleasant East (99),No
5,GO-2018434738,2017,11/15/2017 5:00:00 AM,0,2018,3/9/2018 5:00:00 AM,907,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,173,North Toronto (173),104,Mount Pleasant West (104),No
6,GO-2018337089,2017,12/18/2017 5:00:00 AM,0,2018,2/23/2018 5:00:00 AM,1436,D32,Business/Retail,NO,NO,White,,,Jewish,,,Yes,Indecent Communications,035,Westminster-Branson (35),035,Westminster-Branson (35),No
7,GO-20187368,2017,12/29/2017 5:00:00 AM,1600,2018,1/2/2018 5:00:00 AM,1446,D53,Other Commercial / Corporate Places ,NO,NO,,,,Muslim,,,No,Mischief Under $5000,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),No
8,GO-201826213,2018,1/3/2018 5:00:00 AM,1200,2018,1/5/2018 5:00:00 AM,1321,D13,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Wilful Promotion of Hatred,102,Forest Hill North (102),102,Forest Hill North (102),No
9,GO-201846652,2018,1/8/2018 5:00:00 AM,1757,2018,1/8/2018 5:00:00 AM,1757,D53,NA,NO,NO,,,,Muslim,,,No,Assault,099,Mount Pleasant East (99),099,Mount Pleasant East (99),Yes
10,GO-201861664,2018,1/10/2018 5:00:00 AM,2145,2018,1/10/2018 5:00:00 AM,2146,D14,Public Transportation,NO,NO,Black,,,,,,No,Mischief Under $5000,095,Annex (95),095,Annex (95),No
11,GO-2018119799,2018,1/19/2018 5:00:00 AM,1800,2018,1/20/2018 5:00:00 AM,55,D52,Public Transportation,NO,NO,,,,Muslim,,,No,Assault,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),No
12,GO-2018119145,2018,1/19/2018 5:00:00 AM,2021,2018,1/19/2018 5:00:00 AM,2021,D12,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,028,Rustic (28),028,Rustic (28),No
13,GO-2018174949,2018,1/26/2018 5:00:00 AM,1800,2018,1/28/2018 5:00:00 AM,1326,D31,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),No
14,GO-2018168427,2018,1/27/2018 5:00:00 AM,1158,2018,1/27/2018 5:00:00 AM,1158,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,,,,,,No,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),No
15,GO-2018200362,2018,2/1/2018 5:00:00 AM,1000,2018,2/1/2018 5:00:00 AM,1035,D13,Business/Retail,NO,NO,,,,Jewish,,,No,Uttering Threats - Bodily Harm,102,Forest Hill North (102),102,Forest Hill North (102),No
16,GO-2018198293,2018,2/1/2018 5:00:00 AM,127,2018,2/1/2018 5:00:00 AM,127,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,2SLGBTQ+,,No,Mischief Under $5000,113,Weston (113),113,Weston (113),No
17,GO-2018233724,2018,2/2/2018 5:00:00 AM,900,2018,2/9/2018 5:00:00 AM,939,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Muslim,,,No,Mischief Under $5000,079,University (79),079,University (79),No
18,GO-2018276837,2018,2/5/2018 5:00:00 AM,1257,2018,2/13/2018 5:00:00 AM,941,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,Jewish,,,Yes,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),No
19,GO-2018274742,2018,2/12/2018 5:00:00 AM,2140,2018,2/12/2018 5:00:00 AM,2239,D51,Public Transportation,NO,NO,,,,,Gay,,No,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),No
20,GO-2018247956,2018,2/13/2018 5:00:00 AM,600,2018,2/13/2018 5:00:00 AM,843,NSA,"Open Area, Park or Parking Lot",NO,NO,Black,,,Jewish,,,Yes,Mischief Under $5000,NSA,NSA,NSA,NSA,No
21,GO-2018299281,2018,2/16/2018 5:00:00 AM,1300,2018,2/16/2018 5:00:00 AM,1357,D53,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Uttering Threats - Bodily Harm,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),No
22,GO-2018307464,2018,2/17/2018 5:00:00 AM,1755,2018,2/17/2018 5:00:00 AM,2006,D22,Government Building,NO,NO,,,,,,Transgender Woman (Identifies As Woman),No,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),No
23,GO-2018325954,2018,2/20/2018 5:00:00 AM,2136,2018,2/20/2018 5:00:00 AM,2136,D52,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),No
24,GO-2018338673,2018,2/21/2018 5:00:00 AM,900,2018,2/22/2018 5:00:00 AM,2039,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,058,Old East York (58),058,Old East York (58),No
25,GO-2018338398,2018,2/22/2018 5:00:00 AM,500,2018,2/22/2018 5:00:00 AM,1751,D31,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),No
26,GO-2018344655,2018,2/23/2018 5:00:00 AM,1610,2018,2/23/2018 5:00:00 AM,1617,D51,Streets/Roadways/Highway,NO,NO,,Chinese,,,,,No,Assault,073,Moss Park (73),073,Moss Park (73),Yes
27,GO-2018349271,2018,2/24/2018 5:00:00 AM,1045,2018,2/24/2018 5:00:00 AM,1047,D32,Other Commercial / Corporate Places ,NO,NO,Black,,,Jewish,,,Yes,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),No
28,GO-2018368358,2018,2/27/2018 5:00:00 AM,943,2018,2/27/2018 5:00:00 AM,951,D52,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,,,,,,No,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),Yes
29,GO-2018384695,2018,3/1/2018 5:00:00 AM,1545,2018,3/1/2018 5:00:00 AM,1559,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,Iranian,,,,,No,Criminal Harassment,027,York University Heights (27),027,York University Heights (27),No
